size,threads,time,iters_cg,iters_second,newton_iter
64,1,0.034388,1007,29283.5,301
64,2,0.149653,1007,6728.9,301
64,3,0.203302,1007,4953.22,301
64,4,0.272189,1007,3699.64,301
64,5,0.305029,1007,3301.33,301
64,6,0.354618,1007,2839.68,301
64,7,0.389076,1007,2588.18,301
64,8,0.43046,1007,2339.36,301
64,9,0.429358,1007,2345.36,301
64,10,0.454984,1007,2213.26,301
64,11,0.747738,1007,1346.73,301
64,12,0.83041,1007,1212.65,301
64,13,0.793729,1007,1268.69,301
64,14,0.618749,1007,1627.48,301
64,15,0.702275,1007,1433.91,301
64,16,1.13828,1007,884.669,301
64,17,1.06955,1007,941.515,301
64,18,1.45348,1007,692.818,301
64,19,0.772483,1007,1303.59,301
64,20,0.810499,1007,1242.44,301
64,21,0.958616,1007,1050.47,301
64,22,0.978117,1007,1029.53,301
64,23,1.2362,1007,814.591,301
64,24,1.03779,1007,970.336,301
128,1,0.116003,1513,13042.8,300
128,2,0.25975,1517,5840.23,300
128,3,0.333479,1512,4534.02,300
128,4,0.426322,1513,3548.96,300
128,5,0.455605,1517,3329.64,300
128,6,0.526379,1513,2874.35,300
128,7,0.7193,1514,2104.82,300
128,8,0.603017,1513,2509.05,300
128,9,0.802981,1510,1880.49,300
128,10,0.751806,1511,2009.83,300
128,11,0.780973,1515,1939.89,300
128,12,0.86989,1513,1739.3,300
128,13,0.962163,1512,1571.46,300
128,14,1.50517,1512,1004.54,300
128,15,0.972298,1511,1554.05,300
128,16,1.2028,1512,1257.07,300
128,17,0.961897,1512,1571.89,300
128,18,1.04372,1513,1449.62,300
128,19,1.56371,1512,966.929,300
128,20,1.37263,1513,1102.26,300
128,21,1.38675,1513,1091.04,300
128,22,1.55431,1512,972.777,300
128,23,1.32822,1514,1139.87,300
128,24,1.42175,1512,1063.48,300
256,1,0.785339,2781,3541.15,300
256,2,0.788951,2781,3524.93,300
256,3,0.826282,2784,3369.31,300
256,4,0.945905,2779,2937.93,300
256,5,1.01874,2782,2730.82,300
256,6,1.15394,2785,2413.47,300
256,7,1.21993,2779,2278,300
256,8,1.41566,2782,1965.16,300
256,9,1.30346,2782,2134.32,300
256,10,1.45371,2779,1911.66,300
256,11,1.57531,2778,1763.46,300
256,12,1.71591,2779,1619.55,300
256,13,1.52892,2782,1819.59,300
256,14,1.79225,2780,1551.12,300
256,15,2.24278,2782,1240.42,300
256,16,2.05432,2783,1354.71,300
256,17,3.25994,2783,853.697,300
256,18,1.93796,2783,1436.04,300
256,19,2.10511,2781,1321.07,300
256,20,2.2583,2781,1231.46,300
256,21,3.23321,2778,859.207,300
256,22,2.5064,2781,1109.56,300
256,23,2.54717,2784,1092.98,300
256,24,2.60493,2782,1067.98,300
512,1,5.94967,5369,902.403,300
512,2,4.07378,5367,1317.45,300
512,3,3.45882,5367,1551.69,300
512,4,3.41646,5368,1571.22,300
512,5,4.79773,5365,1118.24,300
512,6,4.18983,5356,1278.34,300
512,7,5.86517,5364,914.551,300
512,8,4.77389,5359,1122.56,300
512,9,4.50885,5364,1189.66,300
512,10,4.62006,5358,1159.73,300
512,11,4.48518,5358,1194.6,300
512,12,4.6461,5360,1153.66,300
512,13,5.07046,5360,1057.1,300
512,14,5.28191,5362,1015.16,300
512,15,4.84984,5370,1107.25,300
512,16,5.71044,5369,940.208,300
512,17,5.8353,5359,918.376,300
512,18,5.30432,5359,1010.31,300
512,19,5.74822,5356,931.767,300
512,20,6.0097,5354,890.894,300
512,21,6.21795,5362,862.343,300
512,22,5.65328,5361,948.299,300
512,23,6.48885,5357,825.57,300
512,24,6.70733,5356,798.53,300
1024,1,47.7086,10465,219.352,302
1024,2,30.8103,10473,339.919,303
1024,3,27.7258,10446,376.761,301
1024,4,25.6887,10442,406.483,300
1024,5,29.1086,10454,359.138,301
1024,6,22.8114,10461,458.587,302
1024,7,22.045,10470,474.937,302
1024,8,20.1252,10481,520.791,302
1024,9,22.4954,10467,465.296,302
1024,10,23.1658,10456,451.356,301
1024,11,23.8184,10435,438.106,301
1024,12,23.8905,10493,439.212,303
1024,13,24.3221,10499,431.666,303
1024,14,24.1997,10460,432.237,302
1024,15,24.7998,10521,424.237,305
1024,16,25.6064,10427,407.203,300
1024,17,25.6541,10513,409.798,305
1024,18,25.6779,10443,406.692,301
1024,19,26.7112,10466,391.821,302
1024,20,26.8208,10458,389.921,301
1024,21,27.2038,10479,385.203,303
1024,22,27.9212,10463,374.733,301
1024,23,28.4019,10475,368.813,302
1024,24,28.7012,10439,363.713,301
