i,j,size,threads,time,iters_cg,iters_second,newton_iter
8,1,8,1,0.003453,800,231683,400
8,1,16,4,0.272761,975,3574.56,400
8,1,32,16,1.22409,916,748.313,313
8,2,8,2,0.086233,800,9277.19,400
8,2,16,8,0.757136,975,1287.75,400
8,4,8,4,0.243053,800,3291.46,400
8,4,16,16,1.17619,975,828.951,400
8,8,8,8,0.535132,800,1494.96,400
8,16,8,16,1.32196,800,605.162,400
16,1,16,1,0.003541,975,275346,400
16,1,32,4,0.243025,916,3769.16,313
16,1,64,16,0.765683,1007,1315.17,301
16,2,16,2,0.121308,975,8037.39,400
16,2,32,8,0.595337,916,1538.62,313
16,4,16,4,0.27194,975,3585.35,400
16,4,32,16,0.693781,914,1317.42,312
16,8,16,8,0.495674,975,1967.02,400
16,16,16,16,1.15244,975,846.032,400
32,1,32,1,0.006314,916,145074,313
32,1,64,4,0.270945,1007,3716.62,301
32,1,128,16,0.975151,1517,1555.66,300
32,2,32,2,0.125402,916,7304.51,313
32,2,64,8,0.521441,1007,1931.19,301
32,4,32,4,0.24252,914,3768.76,312
32,4,64,16,0.824449,1007,1221.42,301
32,8,32,8,0.495553,916,1848.44,313
32,16,32,16,0.950342,916,963.864,313
64,1,64,1,0.022864,1007,44043,301
64,1,128,4,0.423791,1515,3574.88,300
64,1,256,16,2.03743,2784,1366.43,300
64,2,64,2,0.148217,1007,6794.09,301
64,2,128,8,0.73237,1514,2067.26,300
64,4,64,4,0.273956,1007,3675.77,301
64,4,128,16,1.09829,1518,1382.15,300
64,8,64,8,0.473308,1007,2127.58,301
64,16,64,16,0.881193,1007,1142.77,301
