k,kmeans,agglomerative_complete,agglomerative_single
2.0,0.15974294912494338,0.42486134413455545,0.44267235917969433
3.0,0.2439995644978119,0.37797012598141744,0.38934469031802704
4.0,0.2422303018760937,0.36019192489271723,0.37170446342139196
5.0,0.24903256717963188,0.23014457401151603,0.306394842446164
6.0,0.24244839669765603,0.22546313465869358,0.29797305486488557
7.0,0.263585554000905,0.22758877400755895,0.3164224000471449
8.0,0.2856092432934683,0.2565267139349946,0.31371785127900453
9.0,0.28176375006262894,0.2528126123918627,0.2593543126367921
10.0,0.24682281126474237,0.27438261940094055,0.24598422751738097
11.0,0.24092460841489172,0.2710298454894261,0.21819373530420122
12.0,0.24214074587751863,0.28355245203932256,0.21393412623093105
13.0,0.2566962424876592,0.2782331561593747,0.20675128714495777
14.0,0.27318873065296934,0.2730263316681583,0.19764556020091273
15.0,0.28186515090729775,0.2956060864197344,0.19361251802350013
16.0,0.286502468965079,0.2975190046852511,0.19148174440852855
17.0,0.2965229318893055,0.2772485027130971,0.16031026658716402
18.0,0.30478874706992576,0.27812445852193807,0.15608132277369394
19.0,0.3046071903451348,0.2783775794346245,0.1874099739288372
20.0,0.30737298755322273,0.27764187167406296,0.21361469140875014
21.0,0.2785962630676674,0.2788238961282775,0.2139446731499311
22.0,0.2797852643796028,0.2771970077086816,0.2029058160676362
23.0,0.2757522222021902,0.28403067399855697,0.2221833192425498
24.0,0.28144059462561255,0.28145880109487537,0.21382217516603413
25.0,0.2888599928544808,0.2841257021479817,0.20472039276041623
26.0,0.2891825672615698,0.27635307106478313,0.18088737715973902
27.0,0.28735055770187984,0.2746124280495843,0.19979183493899122
28.0,0.3029065911993821,0.30186807366586593,0.2184839497894865
29.0,0.30858323391986275,0.29877005826508524,0.20251939391680035
30.0,0.3132842803422522,0.30227886893691747,0.20320902781198857
31.0,0.3392926609721872,0.30289250435614334,0.20130112783831977
32.0,0.33971833397813533,0.3068006056242152,0.26676479392042696
33.0,0.3337131074503789,0.30276756344680256,0.2700181683135204
34.0,0.3381845924691756,0.2944600630351673,0.29629587045991124
35.0,0.3397837512747597,0.3233198611676665,0.2882179700650469
36.0,0.3431659524980106,0.33058478613232656,0.2817807564647513
37.0,0.34986952762210405,0.3390347893491148,0.27645932270488366
38.0,0.32471755962975096,0.34115333665781655,0.2705250053914106
39.0,0.3253801574738325,0.33890602085230076,0.2668213821710644
40.0,0.3219053098466211,0.34204735307896933,0.2696181900829442
41.0,0.3280058211104819,0.3449576738366466,0.28408136408211304
42.0,0.30500950921543996,0.3414828262094352,0.28776893589985014
43.0,0.30852283757651905,0.34167107134818636,0.3017250379437079
44.0,0.31682301624292475,0.33523385774789066,0.2744545237668619
45.0,0.3134926696132442,0.32244769823946684,0.2721267685309389
46.0,0.3054147692183799,0.29877653232606327,0.27435197837432856
47.0,0.292628609709956,0.3025133412256054,0.2802018218085681
48.0,0.29913085144590496,0.31742254647211393,0.3094958078438567
49.0,0.30598832423194144,0.34439782456013324,0.315699043398822
50.0,0.33277001819994645,0.3499289807935881,0.32224684148196836
51.0,0.3603867858850918,0.3701571881695208,0.310677760113836
52.0,0.389077104774218,0.3762157421462696,0.2991086787457037
53.0,0.39348587916201,0.41667215689813514,0.28632251923727986
54.0,0.3870486655617144,0.4159523624764336,0.283103912437132
55.0,0.34679005498386645,0.4106309287165659,0.27338771509782767
56.0,0.3508742000646136,0.4025530283217017,0.2655246057613021
57.0,0.346841157887201,0.39922268169202113,0.2590873921610064
58.0,0.37712046205337313,0.39922268169202113,0.2201419896048658
59.0,0.36555138068524073,0.4038575146682361,0.2466395631915332
60.0,0.3576882713487152,0.4048702705679042,0.24961007253193515
